SETID,LOCATION,EFFDT,EFF_STATUS,DESCR
IND,7305,01-01-1902 00:00:00,A,VADODARA-HARNI ROAD
IND,2587,01-01-1902 00:00:00,A,NORTH GOA-DULER MAPUSA_BR
IND,7304,01-01-1902 00:00:00,A,VADODARA-ATLADRA
IND,1444,01-01-1902 00:00:00,A,THANE-MUMBAI - NAIGAON_BR
IND,4260,01-01-1902 00:00:00,A,JUNAGADH-JUNAGARH_BR
IND,1213,01-01-1902 00:00:00,A,MUMBAI - GHATKOPAR LBS ROAD_BR
IND,4406,01-01-1902 00:00:00,A,AHMADABAD-SARKHEJ
IND,1225,01-01-1902 00:00:00,A,MUMBAI-ANDH (W) VEERA DESAI_BR
IND,7488,01-01-1902 00:00:00,A,WAYANAD-MANANTHAVADI_BR
IND,4383,01-01-1901 00:00:00,A,BASAVAKALYAN-NEAR TALUK COURT
IND,3497,01-01-1903 00:00:00,A,JABALPUR-MADAN MAHAL_BR
IND,2801,01-01-1903 00:00:00,A,NASHIK-TRIMBAK - FY14-Q2-BR
IND,7344,01-01-1903 00:00:00,A,BHIND-AMBAH
IND,4235,01-01-1903 00:00:00,A,AHMEDABAD-MAKARBA_BR
