SETID,SAL_ADMIN_PLAN,GRADE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
QAT,QAT,85,01-01-1900 00:00:00,A,MD & CEO,MDCEO
SGP,SGP,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
SGP,SGP,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
IND,IND,90,01-01-1900 00:00:00,A,ASSISTANT,ASST
MYS,MYS,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
THA,THA,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
ZAF,ZAF,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
BGD,BGD,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
LKA,LKA,90,01-01-1900 00:00:00,A,MD & CEO,MDCEO
HKG,HKG,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
CHN,CHN,90,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
CHN,CHN,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
HKG,HKG,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
BGD,BGD,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
ZAF,ZAF,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
THA,THA,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
MYS,MYS,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
SGP,SGP,95,01-01-1900 00:00:00,A,MD & CEO,MDCEO
IND,INDL,A1,01-01-1900 00:00:00,A,Grade One,1
IND,INDL,A10,01-01-1900 00:00:00,A,MM I (DM),17
IND,INDL,A11,01-01-1900 00:00:00,A,MANAGER( I CAPS),18
IND,INDL,A12,01-01-1900 00:00:00,A,MM I (AM),19
IND,INDL,A13,01-01-1900 00:00:00,A,1-JOINT PRESIDENT,1JTPR
IND,INDL,A14,01-01-1900 00:00:00,A,Grade Two,2
IND,INDL,A15,01-01-1900 00:00:00,A,MMI(AM) I CREDIT,20
IND,INDL,A16,01-01-1900 00:00:00,A,ASST MANAGER(I CAPS),23
IND,INDL,A17,01-01-1900 00:00:00,A,DY.MANAGER(I CAP),24
IND,INDL,A18,01-01-1900 00:00:00,A,SENIOR OFFICER,26
IND,INDL,A19,01-01-1900 00:00:00,A,SR. OFFICER,26
IND,INDL,A2,01-01-1900 00:00:00,A,W.DIRECTOR,1
IND,INDL,A20,01-01-1900 00:00:00,A,JR.MGT.III,27
IND,INDL,A21,01-01-1900 00:00:00,A,JUNIOR MGMT (I-CAPS),28
IND,INDL,A22,01-01-1900 00:00:00,A,TRAINEE,30
IND,INDL,A23,01-01-1900 00:00:00,A,TRAINEE-1,30
IND,INDL,A24,01-01-1900 00:00:00,A,VICE PRESIDENT(ICAPS,31
IND,INDL,A25,01-01-1900 00:00:00,A,JR.MGT.II,35
IND,INDL,A26,01-01-1900 00:00:00,A,JR.MGT.I,37
IND,INDL,A27,01-01-1900 00:00:00,A,JR.OFFICER,38
IND,INDL,A28,01-01-1900 00:00:00,A,3-ASST GEN MANAGER,3AGM
IND,INDL,A29,01-01-1900 00:00:00,A,SR.SECY.,40
IND,INDL,A3,01-01-1900 00:00:00,A,SR. MGT.II,10
IND,INDL,A30,01-01-1900 00:00:00,A,SECRETARY,41
IND,INDL,A31,01-01-1900 00:00:00,A,46,46
IND,INDL,A32,01-01-1900 00:00:00,A,SECY. I,46
IND,INDL,A33,01-01-1900 00:00:00,A,4-SENIOR MANAGER,4SRMG
IND,INDL,A34,01-01-1900 00:00:00,A,SR.STAFF II,58
IND,INDL,A35,01-01-1900 00:00:00,A,WATCHMAN,59
IND,INDL,A36,01-01-1900 00:00:00,A,6,6
IND,INDL,A37,01-01-1900 00:00:00,A,GROUP MANAGER(I CAPS,6
IND,INDL,A38,01-01-1900 00:00:00,A,SENIOR EXECUTIVE,6
IND,INDL,A39,01-01-1900 00:00:00,A,SR.STAFF I,60
IND,INDL,A4,01-01-1900 00:00:00,A,MGT TRAINEE(ICAPS),100
IND,INDL,A40,01-01-1900 00:00:00,A,SR. STAFF I(DRIVER),61
IND,INDL,A41,01-01-1900 00:00:00,A,JR.OFFICER-I CREDIT,62
IND,INDL,A42,01-01-1900 00:00:00,A,SECT-I CREDIT,63
IND,INDL,A43,01-01-1900 00:00:00,A,SERV.STAFF-I CREDIT,64
IND,INDL,A44,01-01-1900 00:00:00,A,ADMIN. ASST(ICAPS),68
IND,INDL,A45,01-01-1900 00:00:00,A,EXECUTIVE,7
IND,INDL,A46,01-01-1900 00:00:00,A,EXECUTIVES,7
IND,INDL,A47,01-01-1900 00:00:00,A,ASSOCIATE EXECUTIVE,8
IND,INDL,A48,01-01-1900 00:00:00,A,GRADE C (PFS),85
IND,INDL,A49,01-01-1900 00:00:00,A,A,A
